3.81 , 3.53883
3.82 , 3.59205
3.83 , 3.64429
3.84 , 3.69555
3.85 , 3.74583
3.86 , 3.79513
3.87 , 3.84344
3.88 , 3.89078
3.89 , 3.93713
3.9 , 3.9825
3.91 , 4.02689
3.92 , 4.0703
3.93 , 4.11273
3.94 , 4.15418
3.95 , 4.19465
3.96 , 4.23414
3.97 , 4.27264
3.98 , 4.31017
3.99 , 4.34671
4 , 4.38227
4.01 , 4.41685
4.02 , 4.45046
4.03 , 4.48307
4.04 , 4.51471
4.05 , 4.54537
4.06 , 4.57505
4.07 , 4.60374
4.08 , 4.63146
4.09 , 4.65819
4.1 , 4.68394
4.11 , 4.70872
4.12 , 4.73251
4.13 , 4.75532
4.14 , 4.77714
4.15 , 4.79799
4.16 , 4.81786
4.17 , 4.83674
4.18 , 4.85465
4.19 , 4.87157
4.2 , 4.88751
4.21 , 4.90248
4.22 , 4.91646
4.23 , 4.92946
4.24 , 4.94147
4.25 , 4.95251
4.26 , 4.96257
4.27 , 4.97164
4.28 , 4.97974
4.29 , 4.98685
4.3 , 4.99298
4.31 , 4.99814
4.32 , 5.00231
4.33 , 5.0055
4.34 , 5.0077
4.35 , 5.00893
4.36 , 5.00918
4.37 , 5.00844
4.38 , 5.00673
4.39 , 5.00403
4.4 , 5.00035
4.41 , 4.9957
4.42 , 4.99006
4.43 , 4.98344
4.44 , 4.97584
4.45 , 4.96725
4.46 , 4.95769
4.47 , 4.94714
4.48 , 4.93562
4.49 , 4.92311
4.5 , 4.90963
4.51 , 4.89516
4.52 , 4.87971
4.53 , 4.86328
4.54 , 4.84587
4.55 , 4.82747
4.56 , 4.8081
4.57 , 4.78775
4.58 , 4.76641
4.59 , 4.74409
4.6 , 4.7208
4.61 , 4.69652
4.62 , 4.67126
4.63 , 4.64502
4.64 , 4.6178
4.65 , 4.58959
4.66 , 4.56041
4.67 , 4.53025
4.68 , 4.4991
4.69 , 4.46697
4.7 , 4.43387
4.71 , 4.39978
4.72 , 4.36471
4.73 , 4.32866
4.74 , 4.29163
4.75 , 4.25361
4.76 , 4.21462
4.77 , 4.17465
4.78 , 4.13369
4.79 , 4.09175
4.8 , 4.04884
4.81 , 4.00494
4.82 , 3.96006
4.83 , 3.9142
4.84 , 3.86736
4.85 , 3.81953
4.86 , 3.77073
4.87 , 3.72095
4.88 , 3.67018
4.89 , 3.61843
4.9 , 3.56571
4.91 , 3.512
4.92 , 3.45731
4.93 , 3.40164
4.94 , 3.34499
4.95 , 3.28735
4.96 , 3.22874
4.97 , 3.16915
4.98 , 3.10857
4.99 , 3.04702
5 , 2.98448
5.01 , 2.92096
5.02 , 2.85646
5.03 , 2.79098
5.04 , 2.72452
5.05 , 2.65708
5.06 , 2.58865
5.07 , 2.51925
5.08 , 2.44886
5.09 , 2.3775
5.1 , 2.30515
5.11 , 2.23182
5.12 , 2.15751
5.13 , 2.08222
5.14 , 2.00595
5.15 , 1.9287
5.16 , 1.85046
5.17 , 1.77125
5.18 , 1.69105
5.19 , 1.60988
5.2 , 1.52772
5.21 , 1.44458
5.22 , 1.36046
5.23 , 1.27536
5.24 , 1.18928
5.25 , 1.10222
5.26 , 1.01417
5.27 , 0.925148
5.28 , 0.835143
5.29 , 0.744156
5.3 , 0.652189
5.31 , 0.559241
5.32 , 0.465311
5.33 , 0.370401
5.34 , 0.275875
5.35 , 0.183356
5.36 , 0.0944314
5.37 , 0.0106266
5.38 , -0.0666201
5.39 , -0.135983
5.4 , -0.196273
5.41 , -0.246455
5.42 , -0.285667
5.43 , -0.313238
